Sr. No.,Date,Region,Confirmed Cases,Active Cases,Discharged,Deaths
1,01-06-2022,India,43160832,18381,42617810,524641
2,01-06-2022,Andaman and Nicobar Islands,10046,3,9914,129
3,01-06-2022,Andhra Pradesh,2319932,47,2305154,14731
4,01-06-2022,Arunachal Pradesh,64506,2,64208,296
5,01-06-2022,Assam,724230,7,716237,7986
6,01-06-2022,Bihar,830773,34,818483,12256
7,01-06-2022,Chandigarh,92439,116,91158,1165
8,01-06-2022,Chhattisgarh,1152453,52,1138367,14034
9,01-06-2022,Dadra and Nagar Haveli and Daman and Diu,11441,0,11437,4
10,01-06-2022,Delhi,1906896,1603,1879083,26210
11,01-06-2022,Goa,245807,133,241842,3832
12,01-06-2022,Gujarat,1225202,225,1214033,10944
13,01-06-2022,Haryana,1002741,916,991204,10621
14,01-06-2022,Himachal Pradesh,285059,47,280876,4136
15,01-06-2022,Jammu and Kashmir,454249,54,449443,4752
16,01-06-2022,Jharkhand,435342,24,429999,5319
17,01-06-2022,Karnataka,3952102,2029,3909966,40107
18,01-06-2022,Kerala,6557056,5703,6481606,69747
19,01-06-2022,Ladakh,28268,7,28033,228
20,01-06-2022,Lakshadweep,11402,0,11350,52
21,01-06-2022,Madhya Pradesh,1042583,292,1031555,10736
22,01-06-2022,Maharashtra,7887086,3475,7735751,147860
23,01-06-2022,Manipur,137238,8,135110,2120
24,01-06-2022,Meghalaya,93826,4,92229,1593
25,01-06-2022,Mizoram,228336,125,227513,698
26,01-06-2022,Nagaland,35497,2,34735,760
27,01-06-2022,Odisha,1288440,118,1279196,9126
28,01-06-2022,Puducherry,165859,16,163881,1962
29,01-06-2022,Punjab,760356,132,742472,17752
30,01-06-2022,Rajasthan,1285763,532,1275674,9557
31,01-06-2022,Sikkim,39165,0,38713,452
32,01-06-2022,Tamil Nadu,3455474,542,3416907,38025
33,01-06-2022,Telangana,793277,435,788731,4111
34,01-06-2022,Tripura,100887,0,99964,923
35,01-06-2022,Uttar Pradesh,2079800,872,2055408,23520
36,01-06-2022,Uttarakhand,437896,473,429730,7693
37,01-06-2022,West Bengal,2019405,353,1997848,21204
38,01-06-2022,World,527642168,,,6291977
39,02-06-2022,India,43164544,19509,42620394,524641
40,02-06-2022,Andaman and Nicobar Islands,10046,2,9915,129
41,02-06-2022,Andhra Pradesh,2319943,49,2305163,14731
42,02-06-2022,Arunachal Pradesh,64506,2,64208,296
43,02-06-2022,Assam,724230,7,716237,7986
44,02-06-2022,Bihar,830782,42,818484,12256
45,02-06-2022,Chandigarh,92461,125,91171,1165
46,02-06-2022,Chhattisgarh,1152468,60,1138374,14034
47,02-06-2022,Dadra and Nagar Haveli and Daman and Diu,11441,0,11437,4
48,02-06-2022,Delhi,1907264,1567,1879487,26210
49,02-06-2022,Goa,245849,149,241868,3832
50,02-06-2022,Gujarat,1225242,229,1214069,10944
51,02-06-2022,Haryana,1002928,856,991451,10621
52,02-06-2022,Himachal Pradesh,285066,49,280881,4136
53,02-06-2022,Jammu and Kashmir,454255,56,449447,4752
54,02-06-2022,Jharkhand,435348,28,430001,5319
55,02-06-2022,Karnataka,3952280,2001,3910172,40107
56,02-06-2022,Kerala,6558253,6256,6482250,69747
57,02-06-2022,Ladakh,28268,7,28033,228
58,02-06-2022,Lakshadweep,11402,0,11350,52
59,02-06-2022,Madhya Pradesh,1042618,278,1031604,10736
60,02-06-2022,Maharashtra,7888167,4032,7736275,147860
61,02-06-2022,Manipur,137240,9,135111,2120
62,02-06-2022,Meghalaya,93826,4,92229,1593
63,02-06-2022,Mizoram,228352,124,227530,698
64,02-06-2022,Nagaland,35497,1,34736,760
65,02-06-2022,Odisha,1288454,123,1279205,9126
66,02-06-2022,Puducherry,165870,25,163883,1962
67,02-06-2022,Punjab,760370,124,742494,17752
68,02-06-2022,Rajasthan,1285829,515,1275757,9557
69,02-06-2022,Sikkim,39165,0,38713,452
70,02-06-2022,Tamil Nadu,3455613,629,3416959,38025
71,02-06-2022,Telangana,793352,481,788760,4111
72,02-06-2022,Tripura,100887,0,99964,923
73,02-06-2022,Uttar Pradesh,2079924,850,2055554,23520
74,02-06-2022,Uttarakhand,437904,472,429739,7693
75,02-06-2022,West Bengal,2019444,357,1997883,21204
76,02-06-2022,World,528275339,,,6293414
77,03-06-2022,India,43168585,21177,42622757,524651
78,03-06-2022,Andaman and Nicobar Islands,10047,3,9915,129
79,03-06-2022,Andhra Pradesh,2319957,58,2305168,14731
80,03-06-2022,Arunachal Pradesh,64508,3,64209,296
81,03-06-2022,Assam,724233,10,716237,7986
82,03-06-2022,Bihar,830788,42,818490,12256
83,03-06-2022,Chandigarh,92481,122,91194,1165
84,03-06-2022,Chhattisgarh,1152476,62,1138380,14034
85,03-06-2022,Dadra and Nagar Haveli and Daman and Diu,11441,0,11437,4
86,03-06-2022,Delhi,1907637,1490,1879935,26212
87,03-06-2022,Goa,245896,185,241879,3832
88,03-06-2022,Gujarat,1225292,254,1214094,10944
89,03-06-2022,Haryana,1003116,860,991635,10621
90,03-06-2022,Himachal Pradesh,285079,55,280888,4136
91,03-06-2022,Jammu and Kashmir,454262,56,449454,4752
92,03-06-2022,Jharkhand,435359,39,430001,5319
93,03-06-2022,Karnataka,3952577,2204,3910266,40107
94,03-06-2022,Kerala,6559623,6990,6482880,69753
95,03-06-2022,Ladakh,28269,8,28033,228
96,03-06-2022,Lakshadweep,11402,0,11350,52
97,03-06-2022,Madhya Pradesh,1042643,254,1031653,10736
98,03-06-2022,Maharashtra,7889212,4559,7736792,147861
99,03-06-2022,Manipur,137241,10,135111,2120
100,03-06-2022,Meghalaya,93826,3,92230,1593
101,03-06-2022,Mizoram,228372,126,227548,698
102,03-06-2022,Nagaland,35497,0,34736,761
103,03-06-2022,Odisha,1288465,134,1279205,9126
104,03-06-2022,Puducherry,165874,29,163883,1962
105,03-06-2022,Punjab,760391,132,742507,17752
106,03-06-2022,Rajasthan,1285889,513,1275819,9557
107,03-06-2022,Sikkim,39165,0,38713,452
108,03-06-2022,Tamil Nadu,3455758,711,3417022,38025
109,03-06-2022,Telangana,793419,521,788787,4111
110,03-06-2022,Tripura,100887,0,99964,923
111,03-06-2022,Uttar Pradesh,2080081,888,2055673,23520
112,03-06-2022,Uttarakhand,437921,481,429747,7693
113,03-06-2022,West Bengal,2019501,375,1997922,21204
114,03-06-2022,World,528840437,,,6295299
115,04-06-2022,India,43172547,22403,42625454,524690
116,04-06-2022,Andaman and Nicobar Islands,10047,3,9915,129
117,04-06-2022,Andhra Pradesh,2319966,61,2305174,14731
118,04-06-2022,Arunachal Pradesh,64508,3,64209,296
119,04-06-2022,Assam,724233,10,716237,7986
120,04-06-2022,Bihar,830803,54,818493,12256
121,04-06-2022,Chandigarh,92500,126,91209,1165
122,04-06-2022,Chhattisgarh,1152487,71,1138382,14034
123,04-06-2022,Dadra and Nagar Haveli and Daman and Diu,11441,0,11437,4
124,04-06-2022,Delhi,1907982,1446,1880324,26212
125,04-06-2022,Goa,245946,217,241897,3832
126,04-06-2022,Gujarat,1225338,267,1214127,10944
127,04-06-2022,Haryana,1003342,918,991803,10621
128,04-06-2022,Himachal Pradesh,285100,69,280895,4136
129,04-06-2022,Jammu and Kashmir,454271,61,449458,4752
130,04-06-2022,Jharkhand,435365,37,430009,5319
131,04-06-2022,Karnataka,3952836,2229,3910500,40107
132,04-06-2022,Kerala,6560901,7492,6483623,69786
133,04-06-2022,Ladakh,28271,8,28035,228
134,04-06-2022,Lakshadweep,11402,0,11350,52
135,04-06-2022,Madhya Pradesh,1042686,243,1031707,10736
136,04-06-2022,Maharashtra,7890346,5127,7737355,147864
137,04-06-2022,Manipur,137241,5,135116,2120
138,04-06-2022,Meghalaya,93826,2,92231,1593
139,04-06-2022,Mizoram,228391,119,227572,700
140,04-06-2022,Nagaland,35497,0,34736,761
141,04-06-2022,Odisha,1288473,120,1279227,9126
142,04-06-2022,Puducherry,165885,36,163887,1962
143,04-06-2022,Punjab,760402,111,742538,17753
144,04-06-2022,Rajasthan,1285921,485,1275879,9557
145,04-06-2022,Sikkim,39165,0,38713,452
146,04-06-2022,Tamil Nadu,3455871,756,3417090,38025
147,04-06-2022,Telangana,793468,520,788837,4111
148,04-06-2022,Tripura,100887,0,99964,923
149,04-06-2022,Uttar Pradesh,2080273,937,2055816,23520
150,04-06-2022,Uttarakhand,437933,492,429748,7693
151,04-06-2022,West Bengal,2019543,378,1997961,21204
152,04-06-2022,World,529100270,,,6295915
153,05-06-2022,India,43176817,24052,42628073,524692
154,05-06-2022,Andaman and Nicobar Islands,10048,3,9916,129
155,05-06-2022,Andhra Pradesh,2319970,61,2305178,14731
156,05-06-2022,Arunachal Pradesh,64508,3,64209,296
157,05-06-2022,Assam,724237,14,716237,7986
158,05-06-2022,Bihar,830823,69,818498,12256
159,05-06-2022,Chandigarh,92515,124,91226,1165
160,05-06-2022,Chhattisgarh,1152492,64,1138394,14034
161,05-06-2022,Dadra and Nagar Haveli and Daman and Diu,11441,0,11437,4
162,05-06-2022,Delhi,1908387,1467,1880708,26212
163,05-06-2022,Goa,245982,233,241917,3832
164,05-06-2022,Gujarat,1225394,293,1214157,10944
165,05-06-2022,Haryana,1003486,921,991944,10621
166,05-06-2022,Himachal Pradesh,285120,79,280905,4136
167,05-06-2022,Jammu and Kashmir,454276,58,449466,4752
168,05-06-2022,Jharkhand,435372,41,430012,5319
169,05-06-2022,Karnataka,3953058,2260,3910691,40107
170,05-06-2022,Kerala,6562366,8290,6484290,69786
171,05-06-2022,Ladakh,28271,7,28036,228
172,05-06-2022,Lakshadweep,11402,0,11350,52
173,05-06-2022,Madhya Pradesh,1042735,253,1031745,10737
174,05-06-2022,Maharashtra,7891703,5888,7737950,147865
175,05-06-2022,Manipur,137241,5,135116,2120
176,05-06-2022,Meghalaya,93826,0,92233,1593
177,05-06-2022,Mizoram,228400,106,227594,700
178,05-06-2022,Nagaland,35498,1,34736,761
179,05-06-2022,Odisha,1288485,124,1279235,9126
180,05-06-2022,Puducherry,165890,38,163890,1962
181,05-06-2022,Punjab,760429,127,742549,17753
182,05-06-2022,Rajasthan,1285964,411,1275996,9557
183,05-06-2022,Sikkim,39165,0,38713,452
184,05-06-2022,Tamil Nadu,3455976,799,3417152,38025
185,05-06-2022,Telangana,793544,547,788886,4111
186,05-06-2022,Tripura,100887,0,99964,923
187,05-06-2022,Uttar Pradesh,2080403,911,2055972,23520
188,05-06-2022,Uttarakhand,437949,479,429777,7693
189,05-06-2022,West Bengal,2019574,376,1997994,21204
190,05-06-2022,World,529237449,,,6296361
191,06-06-2022,India,43181335,25776,42630852,524707
192,06-06-2022,Andaman and Nicobar Islands,10049,3,9917,129
193,06-06-2022,Andhra Pradesh,2319981,66,2305184,14731
194,06-06-2022,Arunachal Pradesh,64508,3,64209,296
195,06-06-2022,Assam,724237,10,716241,7986
196,06-06-2022,Bihar,830834,75,818503,12256
197,06-06-2022,Chandigarh,92539,133,91241,1165
198,06-06-2022,Chhattisgarh,1152499,68,1138397,14034
199,06-06-2022,Dadra and Nagar Haveli and Daman and Diu,11441,0,11437,4
200,06-06-2022,Delhi,1908730,1422,1881096,26212
201,06-06-2022,Goa,246023,262,241929,3832
202,06-06-2022,Gujarat,1225462,340,1214178,10944
203,06-06-2022,Haryana,1003634,913,992100,10621
204,06-06-2022,Himachal Pradesh,285126,82,280908,4136
205,06-06-2022,Jammu and Kashmir,454280,58,449470,4752
206,06-06-2022,Jharkhand,435378,45,430014,5319
207,06-06-2022,Karnataka,3953359,2414,3910837,40108
208,06-06-2022,Kerala,6563910,8829,6485285,69796
209,06-06-2022,Ladakh,28271,7,28036,228
210,06-06-2022,Lakshadweep,11402,0,11350,52
211,06-06-2022,Madhya Pradesh,1042779,248,1031794,10737
212,06-06-2022,Maharashtra,7893197,6767,7738564,147866
213,06-06-2022,Manipur,137241,5,135116,2120
214,06-06-2022,Meghalaya,93827,1,92233,1593
215,06-06-2022,Mizoram,228404,105,227599,700
216,06-06-2022,Nagaland,35498,1,34736,761
217,06-06-2022,Odisha,1288504,143,1279235,9126
218,06-06-2022,Puducherry,165895,41,163892,1962
219,06-06-2022,Punjab,760446,118,742575,17753
220,06-06-2022,Rajasthan,1286020,439,1276024,9557
221,06-06-2022,Sikkim,39165,0,38713,452
222,06-06-2022,Tamil Nadu,3456083,836,3417222,38025
223,06-06-2022,Telangana,793607,563,788933,4111
224,06-06-2022,Tripura,100887,0,99964,923
225,06-06-2022,Uttar Pradesh,2080525,892,2056111,23522
226,06-06-2022,Uttarakhand,437961,489,429779,7693
227,06-06-2022,West Bengal,2019633,398,1998030,21205
228,06-06-2022,World,529410287,,,6296771
229,07-06-2022,India,43185049,26976,42633365,524708
230,07-06-2022,Andaman and Nicobar Islands,10051,5,9917,129
231,07-06-2022,Andhra Pradesh,2319988,68,2305189,14731
232,07-06-2022,Arunachal Pradesh,64508,3,64209,296
233,07-06-2022,Assam,724237,10,716241,7986
234,07-06-2022,Bihar,830838,74,818508,12256
235,07-06-2022,Chandigarh,92551,135,91251,1165
236,07-06-2022,Chhattisgarh,1152514,76,1138404,14034
237,07-06-2022,Dadra and Nagar Haveli and Daman and Diu,11441,0,11437,4
238,07-06-2022,Delhi,1908977,1349,1881416,26212
239,07-06-2022,Goa,246053,274,241947,3832
240,07-06-2022,Gujarat,1225515,344,1214227,10944
241,07-06-2022,Haryana,1003799,821,992357,10621
242,07-06-2022,Himachal Pradesh,285150,97,280917,4136
243,07-06-2022,Jammu and Kashmir,454283,55,449476,4752
244,07-06-2022,Jharkhand,435384,49,430016,5319
245,07-06-2022,Karnataka,3953589,2441,3911040,40108
246,07-06-2022,Kerala,6565293,9405,6486092,69796
247,07-06-2022,Ladakh,28272,7,28037,228
248,07-06-2022,Lakshadweep,11402,0,11350,52
249,07-06-2022,Madhya Pradesh,1042819,253,1031829,10737
250,07-06-2022,Maharashtra,7894233,7429,7738938,147866
251,07-06-2022,Manipur,137241,5,135116,2120
252,07-06-2022,Meghalaya,93827,1,92233,1593
253,07-06-2022,Mizoram,228434,117,227617,700
254,07-06-2022,Nagaland,35498,1,34736,761
255,07-06-2022,Odisha,1288517,138,1279253,9126
256,07-06-2022,Puducherry,165898,41,163895,1962
257,07-06-2022,Punjab,760469,124,742591,17754
258,07-06-2022,Rajasthan,1286054,349,1276148,9557
259,07-06-2022,Sikkim,39166,1,38713,452
260,07-06-2022,Tamil Nadu,3456173,862,3417286,38025
261,07-06-2022,Telangana,793672,582,788979,4111
262,07-06-2022,Tripura,100887,0,99964,923
263,07-06-2022,Uttar Pradesh,2080662,968,2056172,23522
264,07-06-2022,Uttarakhand,437968,480,429795,7693
265,07-06-2022,West Bengal,2019686,412,1998069,21205
266,07-06-2022,World,530384364,,,6300126
267,08-06-2022,World,530945492,,,6301443
268,09-06-2022,India,43197522,32481,42640301,524740
269,09-06-2022,Andaman and Nicobar Islands,10053,6,9918,129
270,09-06-2022,Andhra Pradesh,2320038,97,2305210,14731
271,09-06-2022,Arunachal Pradesh,64508,2,64210,296
272,09-06-2022,Assam,724242,13,716243,7986
273,09-06-2022,Bihar,830866,82,818528,12256
274,09-06-2022,Chandigarh,92592,131,91296,1165
275,09-06-2022,Chhattisgarh,1152543,76,1138432,14035
276,09-06-2022,Dadra and Nagar Haveli and Daman and Diu,11441,0,11437,4
277,09-06-2022,Delhi,1909991,1691,1882086,26214
278,09-06-2022,Goa,246192,376,241984,3832
279,09-06-2022,Gujarat,1225698,445,1214309,10944
280,09-06-2022,Haryana,1004273,933,992719,10621
281,09-06-2022,Himachal Pradesh,285170,103,280931,4136
282,09-06-2022,Jammu and Kashmir,454301,58,449491,4752
283,09-06-2022,Jharkhand,435392,50,430023,5319
284,09-06-2022,Karnataka,3954313,2623,3911582,40108
285,09-06-2022,Kerala,6569058,11246,6487988,69824
286,09-06-2022,Ladakh,28276,8,28040,228
287,09-06-2022,Lakshadweep,11402,0,11350,52
288,09-06-2022,Madhya Pradesh,1042875,245,1031893,10737
289,09-06-2022,Maharashtra,7898815,9806,7741143,147866
290,09-06-2022,Manipur,137241,2,135119,2120
291,09-06-2022,Meghalaya,93827,1,92233,1593
292,09-06-2022,Mizoram,228478,122,227656,700
293,09-06-2022,Nagaland,35498,1,34736,761
294,09-06-2022,Odisha,1288545,149,1279270,9126
295,09-06-2022,Puducherry,165910,33,163915,1962
296,09-06-2022,Punjab,760518,138,742626,17754
297,09-06-2022,Rajasthan,1286188,392,1276239,9557
298,09-06-2022,Sikkim,39174,9,38713,452
299,09-06-2022,Tamil Nadu,3456512,1021,3417466,38025
300,09-06-2022,Telangana,793907,731,789065,4111
301,09-06-2022,Tripura,100889,2,99964,923
302,09-06-2022,Uttar Pradesh,2080952,914,2056515,23523
303,09-06-2022,Uttarakhand,438012,506,429813,7693
304,09-06-2022,West Bengal,2019832,469,1998158,21205
305,09-06-2022,World,531550610,,,6302982
306,10-06-2022,India,43205106,36267,42644092,524747
307,10-06-2022,Andaman and Nicobar Islands,10053,6,9918,129
308,10-06-2022,Andhra Pradesh,2320060,105,2305224,14731
309,10-06-2022,Arunachal Pradesh,64509,1,64212,296
310,10-06-2022,Assam,724243,11,716246,7986
311,10-06-2022,Bihar,830880,78,818546,12256
312,10-06-2022,Chandigarh,92617,136,91316,1165
313,10-06-2022,Chhattisgarh,1152566,89,1138442,14035
314,10-06-2022,Dadra and Nagar Haveli and Daman and Diu,11441,0,11437,4
315,10-06-2022,Delhi,1910613,1774,1882623,26216
316,10-06-2022,Goa,246259,401,242026,3832
317,10-06-2022,Gujarat,1225815,517,1214354,10944
318,10-06-2022,Haryana,1004621,1170,992830,10621
319,10-06-2022,Himachal Pradesh,285203,130,280937,4136
320,10-06-2022,Jammu and Kashmir,454314,68,449494,4752
321,10-06-2022,Jharkhand,435397,48,430030,5319
322,10-06-2022,Karnataka,3954784,2880,3911796,40108
323,10-06-2022,Kerala,6571251,12193,6489234,69824
324,10-06-2022,Ladakh,28276,7,28041,228
325,10-06-2022,Lakshadweep,11402,0,11350,52
326,10-06-2022,Madhya Pradesh,1042928,276,1031915,10737
327,10-06-2022,Maharashtra,7901628,11571,7742190,147867
328,10-06-2022,Manipur,137242,1,135121,2120
329,10-06-2022,Meghalaya,93827,1,92233,1593
330,10-06-2022,Mizoram,228512,141,227671,700
331,10-06-2022,Nagaland,35498,1,34736,761
332,10-06-2022,Odisha,1288576,169,1279281,9126
333,10-06-2022,Puducherry,165914,35,163917,1962
334,10-06-2022,Punjab,760548,157,742637,17754
335,10-06-2022,Rajasthan,1286259,411,1276289,9559
336,10-06-2022,Sikkim,39175,9,38713,453
337,10-06-2022,Tamil Nadu,3456697,1077,3417595,38025
338,10-06-2022,Telangana,794029,811,789107,4111
339,10-06-2022,Tripura,100889,2,99964,923
340,10-06-2022,Uttar Pradesh,2081109,938,2056647,23524
341,10-06-2022,Uttarakhand,438044,536,429815,7693
342,10-06-2022,West Bengal,2019927,517,1998205,21205
343,10-06-2022,World,532201219,,,6305358
344,11-06-2022,India,43213435,40370,42648308,524757
345,11-06-2022,Andaman and Nicobar Islands,10053,5,9919,129
346,11-06-2022,Andhra Pradesh,2320082,115,2305236,14731
347,11-06-2022,Arunachal Pradesh,64509,1,64212,296
348,11-06-2022,Assam,724250,18,716246,7986
349,11-06-2022,Bihar,830890,78,818556,12256
350,11-06-2022,Chandigarh,92652,152,91335,1165
351,11-06-2022,Chhattisgarh,1152589,102,1138452,14035
352,11-06-2022,Dadra and Nagar Haveli and Daman and Diu,11441,0,11437,4
353,11-06-2022,Delhi,1911268,2008,1883042,26218
354,11-06-2022,Goa,246336,431,242073,3832
355,11-06-2022,Gujarat,1225958,608,1214405,10945
356,11-06-2022,Haryana,1004948,1269,993058,10621
357,11-06-2022,Himachal Pradesh,285228,140,280952,4136
358,11-06-2022,Jammu and Kashmir,454325,71,449502,4752
